Estuary,Station,Date,Transect,Habitat,Method,Quadrat,ScientificName,CommonName,Status,EstimatedCover,TallestPlantHeight,Tide,VegetatedCover,NonVegetatedCover
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Salicornia pacifica,Pickleweed,native,25,28,open,100,0
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Distichlis spicata,salt grass,native,7,13,open,100,0
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Jaumea carnosa,fleshy jaumea,native,40,27,open,100,0
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Salicornia pacifica,Pickleweed,native,10,42,open,100,0
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,2,Atriplex semibaccata,Australian saltbush,invasive,5,68,open,80,20
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,2,Frankenia salina,alkali heath,native,20,23,open,80,20
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,2,Lysimachia arvensis,scarlet pimpernel,non-native,3,12,open,80,20
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Juncus sp.,rush species,native,20,87,open,90,10
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Salicornia pacifica,Pickleweed,native,4,39,open,90,10
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Distichlis spicata,salt grass,native,3,30,open,90,10
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Frankenia salina,alkali heath,native,4,27,open,90,10
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Jaumea carnosa,fleshy jaumea,native,30,11,open,90,10
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,4,Frankenia salina,alkali heath,native,8,20,open,95,5
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,4,Lysimachia arvensis,scarlet pimpernel,non-native,15,28,open,95,5
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,5,Frankenia salina,alkali heath,native,55,20,open,100,0
Malibu Lagoon,1,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,5,Juncus sp.,rush species,native,40,19,open,100,0
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Salicornia pacifica,Pickleweed,native,20,28,open,85,15
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Frankenia salina,alkali heath,native,5,17,open,85,15
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Jaumea carnosa,fleshy jaumea,native,40,15,open,85,15
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Distichlis spicata,salt grass,native,10,15,open,85,15
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,2,Salicornia pacifica,Pickleweed,native,60,75,open,80,20
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,2,Jaumea carnosa,fleshy jaumea,native,15,17,open,80,20
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Juncus acutus,spiny rush,native,75,94,open,100,0
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Salicornia pacifica,Pickleweed,native,10,31,open,100,0
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Distichlis spicata,salt grass,native,10,37,open,100,0
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,3,Jaumea carnosa,fleshy jaumea,native,25,11,open,100,0
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,4,Salicornia pacifica,Pickleweed,native,55,95,open,95,5
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,4,Distichlis spicata,salt grass,native,5,29,open,95,5
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,4,Distichlis spicata,salt grass,native,10,29,open,95,5
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,4,Frankenia salina,alkali heath,native,15,41,open,95,5
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,4,Atriplex semibaccata,Australian saltbush,invasive,2,30,open,95,5
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,5,Jaumea carnosa,fleshy jaumea,native,35,16,open,100,0
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,5,Distichlis spicata,salt grass,native,10,2,open,100,0
Malibu Lagoon,2,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,5,Typha latifolia,broad-leaved cattail,native,10,51,open,100,0
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Juncus acutus,spiny rush,native,70,95,open,97,3
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Salicornia pacifica,Pickleweed,native,5,47,open,97,3
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Salicornia pacifica,Pickleweed,native,10,17,open,97,3
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Distichlis spicata,salt grass,native,7,40,open,97,3
Malibu Lagoon,3,2023-04-16T00:00:00Z,1,Mid marsh,within_elevation,1,Jaumea carnosa,fleshy jaumea,native,2,37,open,97,3
